title,author,century,text,etiqueta
Soneto,Juan Antonio Garcés,15-17,"¿Dónde Sansón está la fortaleza,
con qué heroico la fama te eterniza?
¿Dónde la ciencia, di, que te autoriza,
escoger Salomón a tu grandeza?

¿Dónde David oculta tu nobleza,
aquella santidad que te entroniza?
Si cuando más el bronce solemniza
os desdora el borrón de la Pureza

Mas si a Francisco bien he contemplado,
apagar el ardor que os ha vencido
con el bello coral que ha derramado.

Aun más triunfante cuanto más dormido,
en él para su gloria aventajado,
está lo fuerte, santo, y entendido.

",Religioso Mistico
- LI -,Juan de Arguijo,15-17,"Cuando en horror medroso y ciego espanto
por los teucros discurre Alecto airada,
y el impío acero de la griega espada
hace crecer con frigia sangre el Janto

Entre las quejas y confuso llanto
de la mísera gente descuidada,
alza la voz Casandra, arrebatada
de profético aliento y furor santo

«En tus cenizas, dice, ¡oh patria cara!,
se guarda el fuego cuya llama ardiente
hará costosa a Grecia esta victoria:

otra renacerá de ti más clara
Troya, por quien tu nombre eternamente
vuelva a vivir en más dichosa historia »

",Religioso Mistico
Soneto,Miguel de Barrios,15-17,"El primer hombre fui, que, por Dios hecho,
le semejé, de todo cifra hermosa;
y, con gratitud al cielo odiosa,
el quererme hacer grande me ha deshecho.

Dominé el mundo, a mi altivez estrecho,
y por comer la fruta venenosa,
de la muerte en la cárcel espantosa,
me viene grande el más pequeño trecho.

Denominéme, de adamá (que tierra
denota), Adán, (que es «hombre»), por tal modo
que he vuelto a mi materia inanimada

Lo que esta losa hasta mi nombre encierra,
cuando Adán fue pensaba que era todo
y, leído al contrario, ya soy nada.

",Religioso Mistico
- XLV -,Juan de Arguijo,15-17,"Este soberbio monte y levantada
cumbre, ciudad un tiempo, hoy sepultura
de la grandeza, cuya fama dura
contra la fuerza de la suerte airada

Ejemplo cierto fue en la edad pasada,
y será fiel testigo a la futura,
del fin que ha de tener la más segura
pujanza, vanamente confiada

Mas en tanta ruina nueva gloria
no os pudo fallecer, ¡oh celebrados
de la antigua Cartago ilustres muros!

Que mucho más creció vuestra memoria,
porque fuisteis del tiempo derribados,
que si permaneciérades seguros.

",Melancolico
A la santa paciencia,Juan Francisco Andrés,15-17,"Del fuego abrasador la llama ardiente,
no examina en Laurencio lo inflamado,
que el calor de las ascuas no ha quemado,
porque en su pecho, incendio mayor siente.

La actividad de Orencio no consiente,
que le refríe del cristal lo helado,
porque el hielo, en pavesas transformado,
confiesa el vencimiento claramente.

Laurencio se acredita de animoso
en las llamas, y Orencio en los cristales,
rayos brilla el amor afectuoso.

Que venzan elementos desiguales,
no es mucho, cuando en parto prodigioso,
la Paciencia les dio fuerzas iguales.

",Religioso Mistico
A mi propio retrato,Álvaro Cubillo de Aragón,15-17,"Agradece al pincel ¡oh sombra vana!
tanto esplendor, que a breve lienzo fía,
exento a la cobarde valentía
de aquel que huyendo mi verdor profana

Hoy me parezco a ti, mas no mañana
¡Dichoso tú que naces cada día
y el tiempo no podrá con su porfía
poner en ti una arruga ni una cana!

Dichoso tú que el curso fugitivo
de su veloz carrera, despreciando,
siglos apuestas a vivir no vivo

Y sin ventura yo, que siempre dando
cada paso a la muerte, soy cautivo
que sé no vivo, y muero no sé cuando

",Melancolico
- VI -,Juan de Arguijo,15-17,"Julia, si de la Parca el furor ciego
permitiera en tu vida más tardanza,
no viera Roma en su mayor pujanza
de las guerras domésticas el fuego;

que semejante en el piadoso ruego
a las Sabinas, la furiosa lanza
redujeras, repuesta la venganza
a paz alegre y a común sosiego

Al detenido daño y armas fieras
tu acelerada muerte abrió camino
rota la fe, que violentada estaba.

Tú sola el istmo de estas ondas eras:
mas acabó la fuerza del destino
vida, que tantas muertes excusaba.

",Religioso Mistico
A la muerte para mejor vida del doctor Juan Pérez de Montalbán,Pedro Jerónimo Mancebo de Velasco,15-17,"Esta luz que en los términos fatales
amenazada del horror, parece
que en resplandores trémulos fenece
luchando con las sombras funerales,

En Farol (que de sólidos metales
la piedra le construye) permanece
exenta al común soplo, que oscurece
tanto vital ardor de hachas mortales

Atenta aquí la Parca (cuando fiera
extinguir suele toda luz viviente)
midió el golpe fatal de su tijera:

Cortó avivando; con qué más luciente
quedó la llama que a la vez primera,
cuanto va de caduca permanente.

",Religioso Mistico
A Arión Músico,Juan de Arguijo,15-17,"Mientras llevado de un delfín piadoso
corta Arión el mar, suspende el viento,
y las agua enfrena el blando acento
de la cítara y canto artificioso

Las Nereidas, dejando el espumoso
albergue, al dulce son de su instrumento
tejen en concertado movimiento
festivo coro en el teatro ondoso

Tetis, Nereo y Doris con espanto
oyeron su armonía Ni faltaste,
grande Neptuno, y tú, Glauco, saliste

¡Oh, fuerza ilustre del suave canto!,
si la fiera codicia no ablandaste,
ondas, vientos, delfín, dioses venciste.

",Religioso Mistico
Soneto,Diego Gonzalo,15-17,"España tuvo el más felice día,
y temió España el más sangriento estrago,
pobló el contento todo el viento vago,
borró el pesar la luz de la alegría.

Nació Felipe Próspero, y debía,
que el Reino le esperaba con halago;
costó su nacimiento duro halago,
que en su Madre temió la Monarquía.

España el parabién te da dos veces,
(pues Mariana, que tanto a deseado)
del riesgo en que saliste con más gloria.

Con que te da el aplauso que mereces
porque añade valor al triunfo osado,
quien se arriesga después de la victoria

",Religioso Mistico
- XXXVI -,Juan de Arguijo,15-17,"Después que en tierno llanto desordena
Citerea la voz por el violento
fin de su Adonis, y con triste acento
el bosque Idalio a su dolor resuena,

y en flor sobre el acanto y azucena
hermosura, trueca el mísero y sangriento
joven, modera el grave sentimiento,
y el ímpetu a sus lágrimas enfrena;

y no hallando a su tristeza medio
vuelve al usado ornato, y reflorece
del ya sereno rostro la luz pura

Así el pesar con la razón decrece,
desesperado el bien; que tal vez cura
a un grande mal la falta de remedio.

",Heroico
